שם תחנה,מספר תחנה,תאריך,טמפרטורת מקסימום(C°),טמפרטורת מינימום(C°),משך זהירת שמש(דקות)
ירושלים מרכז                                      ,6771,08-08-1998,34.7,22.7,-
ירושלים מרכז                                      ,6771,09-08-1998,38.4,27.3,-
ירושלים מרכז                                      ,6771,10-08-1998,31.9,24.1,-
ירושלים מרכז                                      ,6771,11-08-1998,31.5,22.3,-
ירושלים מרכז                                      ,6771,12-08-1998,31.6,22.5,-
ירושלים מרכז                                      ,6771,13-08-1998,33.1,20.5,-
ירושלים מרכז                                      ,6771,14-08-1998,30.8,20.7,-
ירושלים מרכז                                      ,6771,15-08-1998,29.9,20.1,-
ירושלים מרכז                                      ,6771,16-08-1998,29.9,20.0,-
ירושלים מרכז                                      ,6771,17-08-1998,32.5,21.9,-
ירושלים מרכז                                      ,6771,18-08-1998,32.3,23.6,-
ירושלים מרכז                                      ,6771,19-08-1998,31.3,23.4,-
ירושלים מרכז                                      ,6771,20-08-1998,31.4,21.7,-
ירושלים מרכז                                      ,6771,21-08-1998,31.0,18.5,-
ירושלים מרכז                                      ,6771,22-08-1998,30.7,18.9,-
ירושלים מרכז                                      ,6771,23-08-1998,30.2,19.1,-
ירושלים מרכז                                      ,6771,24-08-1998,31.3,19.1,-
ירושלים מרכז                                      ,6771,25-08-1998,31.2,18.5,-
ירושלים מרכז                                      ,6771,26-08-1998,31.0,19.1,-
ירושלים מרכז                                      ,6771,27-08-1998,29.9,19.2,-
ירושלים מרכז                                      ,6771,28-08-1998,30.2,19.7,-
ירושלים מרכז                                      ,6771,29-08-1998,33.9,19.9,-
ירושלים מרכז                                      ,6771,30-08-1998,34.5,23.5,-
ירושלים מרכז                                      ,6771,31-08-1998,33.8,23.3,-
ירושלים מרכז                                      ,6771,01-09-1998,32.4,24.2,-
ירושלים מרכז                                      ,6771,02-09-1998,30.8,19.8,-
ירושלים מרכז                                      ,6771,03-09-1998,28.6,19.2,-
ירושלים מרכז                                      ,6771,04-09-1998,27.5,17.7,-
ירושלים מרכז                                      ,6771,05-09-1998,27.1,18.9,-
ירושלים מרכז                                      ,6771,06-09-1998,30.0,18.8,-
ירושלים מרכז                                      ,6771,07-09-1998,32.6,21.9,-
ירושלים מרכז                                      ,6771,08-09-1998,35.2,24.8,-
ירושלים מרכז                                      ,6771,09-09-1998,36.9,26.7,-
ירושלים מרכז                                      ,6771,10-09-1998,34.3,25.2,-
ירושלים מרכז                                      ,6771,11-09-1998,30.5,23.2,-
ירושלים מרכז                                      ,6771,12-09-1998,31.8,21.8,-
ירושלים מרכז                                      ,6771,13-09-1998,27.3,19.3,-
ירושלים מרכז                                      ,6771,14-09-1998,30.4,18.9,-
ירושלים מרכז                                      ,6771,15-09-1998,33.4,22.7,-
ירושלים מרכז                                      ,6771,16-09-1998,34.2,24.2,-
ירושלים מרכז                                      ,6771,17-09-1998,29.2,20.5,-
ירושלים מרכז                                      ,6771,18-09-1998,28.0,19.2,-
ירושלים מרכז                                      ,6771,19-09-1998,25.9,17.8,-
ירושלים מרכז                                      ,6771,20-09-1998,25.2,17.6,-
ירושלים מרכז                                      ,6771,21-09-1998,25.7,17.8,-
ירושלים מרכז                                      ,6771,22-09-1998,24.4,16.9,-
ירושלים מרכז                                      ,6771,23-09-1998,23.7,16.9,-
ירושלים מרכז                                      ,6771,24-09-1998,23.7,16.6,-
ירושלים מרכז                                      ,6771,25-09-1998,25.4,16.3,-
ירושלים מרכז                                      ,6771,26-09-1998,28.2,18.6,-
ירושלים מרכז                                      ,6771,27-09-1998,26.4,17.8,-
ירושלים מרכז                                      ,6771,28-09-1998,28.4,17.4,-
ירושלים מרכז                                      ,6771,29-09-1998,29.8,17.9,-
ירושלים מרכז                                      ,6771,30-09-1998,29.6,18.2,-
ירושלים מרכז                                      ,6771,01-10-1998,25.9,18.0,-
ירושלים מרכז                                      ,6771,02-10-1998,28.1,16.8,-
ירושלים מרכז                                      ,6771,03-10-1998,27.2,17.9,-
ירושלים מרכז                                      ,6771,04-10-1998,27.9,15.7,-
ירושלים מרכז                                      ,6771,05-10-1998,29.9,19.5,-
ירושלים מרכז                                      ,6771,06-10-1998,26.1,17.8,-
ירושלים מרכז                                      ,6771,07-10-1998,24.9,17.0,-
ירושלים מרכז                                      ,6771,08-10-1998,27.4,17.3,-
ירושלים מרכז                                      ,6771,09-10-1998,29.7,17.8,-
ירושלים מרכז                                      ,6771,10-10-1998,28.8,20.8,-
ירושלים מרכז                                      ,6771,11-10-1998,28.8,19.8,-
ירושלים מרכז                                      ,6771,12-10-1998,31.4,20.6,-
ירושלים מרכז                                      ,6771,13-10-1998,33.3,22.3,-
ירושלים מרכז                                      ,6771,14-10-1998,33.5,24.7,-
ירושלים מרכז                                      ,6771,15-10-1998,31.3,22.1,-
ירושלים מרכז                                      ,6771,16-10-1998,22.9,16.5,-
ירושלים מרכז                                      ,6771,17-10-1998,22.3,15.3,-
ירושלים מרכז                                      ,6771,18-10-1998,21.7,14.7,-
ירושלים מרכז                                      ,6771,19-10-1998,23.0,14.5,-
ירושלים מרכז                                      ,6771,20-10-1998,26.8,16.4,-
ירושלים מרכז                                      ,6771,21-10-1998,28.5,17.8,-
ירושלים מרכז                                      ,6771,22-10-1998,27.5,16.9,-
ירושלים מרכז                                      ,6771,23-10-1998,28.9,18.5,-
ירושלים מרכז                                      ,6771,24-10-1998,29.5,19.6,-
ירושלים מרכז                                      ,6771,25-10-1998,24.0,15.6,-
ירושלים מרכז                                      ,6771,26-10-1998,23.5,14.4,-
ירושלים מרכז                                      ,6771,27-10-1998,24.7,15.0,-
ירושלים מרכז                                      ,6771,28-10-1998,25.9,16.5,-
ירושלים מרכז                                      ,6771,29-10-1998,18.7,14.0,-
ירושלים מרכז                                      ,6771,30-10-1998,20.7,12.8,-
ירושלים מרכז                                      ,6771,31-10-1998,23.8,13.4,-
ירושלים מרכז                                      ,6771,01-11-1998,21.1,13.1,-
ירושלים מרכז                                      ,6771,02-11-1998,22.3,14.3,-
ירושלים מרכז                                      ,6771,03-11-1998,23.3,15.3,-
ירושלים מרכז                                      ,6771,04-11-1998,25.9,16.5,-
ירושלים מרכז                                      ,6771,05-11-1998,25.6,18.9,-
ירושלים מרכז                                      ,6771,06-11-1998,27.9,18.1,-
ירושלים מרכז                                      ,6771,07-11-1998,28.4,18.5,-
ירושלים מרכז                                      ,6771,08-11-1998,23.8,14.0,-
ירושלים מרכז                                      ,6771,09-11-1998,23.4,13.7,-
ירושלים מרכז                                      ,6771,10-11-1998,20.8,14.0,-
ירושלים מרכז                                      ,6771,11-11-1998,17.1,12.0,-
ירושלים מרכז                                      ,6771,12-11-1998,21.9,12.8,-
ירושלים מרכז                                      ,6771,13-11-1998,23.7,15.2,-
ירושלים מרכז                                      ,6771,14-11-1998,18.7,12.7,-
ירושלים מרכז                                      ,6771,15-11-1998,19.2,12.2,-
ירושלים מרכז                                      ,6771,16-11-1998,19.8,12.7,-
ירושלים מרכז                                      ,6771,17-11-1998,23.4,13.5,-
ירושלים מרכז                                      ,6771,18-11-1998,20.8,12.9,-
ירושלים מרכז                                      ,6771,19-11-1998,20.0,13.3,-
ירושלים מרכז                                      ,6771,20-11-1998,22.5,13.4,-
ירושלים מרכז                                      ,6771,21-11-1998,23.6,17.2,-
ירושלים מרכז                                      ,6771,22-11-1998,24.1,17.9,-
ירושלים מרכז                                      ,6771,23-11-1998,24.3,17.2,-
ירושלים מרכז                                      ,6771,24-11-1998,24.3,16.4,-
ירושלים מרכז                                      ,6771,25-11-1998,22.7,13.6,-
ירושלים מרכז                                      ,6771,26-11-1998,24.1,12.2,-
ירושלים מרכז                                      ,6771,27-11-1998,21.9,16.2,-
ירושלים מרכז                                      ,6771,28-11-1998,22.6,14.8,-
ירושלים מרכז                                      ,6771,29-11-1998,22.7,14.7,-
ירושלים מרכז                                      ,6771,30-11-1998,16.3,10.3,-
ירושלים מרכז                                      ,6771,01-12-1998,18.8,11.0,-
ירושלים מרכז                                      ,6771,02-12-1998,20.2,12.6,-
ירושלים מרכז                                      ,6771,03-12-1998,18.9,11.3,-
ירושלים מרכז                                      ,6771,04-12-1998,17.6,10.2,-
ירושלים מרכז                                      ,6771,05-12-1998,19.8,12.3,-
ירושלים מרכז                                      ,6771,06-12-1998,24.0,15.8,-
ירושלים מרכז                                      ,6771,07-12-1998,25.8,17.2,-
ירושלים מרכז                                      ,6771,08-12-1998,24.7,17.1,-
ירושלים מרכז                                      ,6771,09-12-1998,25.1,16.2,-
ירושלים מרכז                                      ,6771,10-12-1998,16.2,9.6,-
ירושלים מרכז                                      ,6771,11-12-1998,13.2,8.0,-
ירושלים מרכז                                      ,6771,12-12-1998,14.9,9.9,-
ירושלים מרכז                                      ,6771,13-12-1998,14.1,11.4,-
ירושלים מרכז                                      ,6771,14-12-1998,16.5,12.0,-
ירושלים מרכז                                      ,6771,15-12-1998,13.2,8.7,-
ירושלים מרכז                                      ,6771,16-12-1998,14.7,7.8,-
ירושלים מרכז                                      ,6771,17-12-1998,12.8,6.5,-
ירושלים מרכז                                      ,6771,18-12-1998,16.1,7.8,-
ירושלים מרכז                                      ,6771,19-12-1998,16.8,8.9,-
ירושלים מרכז                                      ,6771,20-12-1998,12.4,6.9,-
ירושלים מרכז                                      ,6771,21-12-1998,14.7,8.0,-
ירושלים מרכז                                      ,6771,22-12-1998,16.8,8.7,-
ירושלים מרכז                                      ,6771,23-12-1998,13.5,7.9,-
ירושלים מרכז                                      ,6771,24-12-1998,14.0,7.6,-
ירושלים מרכז                                      ,6771,25-12-1998,11.7,7.3,-
ירושלים מרכז                                      ,6771,26-12-1998,10.9,6.8,-
ירושלים מרכז                                      ,6771,27-12-1998,14.5,7.7,-
ירושלים מרכז                                      ,6771,28-12-1998,11.8,10.2,-
ירושלים מרכז                                      ,6771,29-12-1998,13.0,8.1,-
ירושלים מרכז                                      ,6771,30-12-1998,12.0,8.2,-
ירושלים מרכז                                      ,6771,31-12-1998,11.3,8.3,-
ירושלים מרכז                                      ,6771,01-01-1999,14.4,8.4,-
ירושלים מרכז                                      ,6771,02-01-1999,15.2,8.7,-
ירושלים מרכז                                      ,6771,03-01-1999,15.5,8.6,-
ירושלים מרכז                                      ,6771,04-01-1999,17.4,10.6,-
ירושלים מרכז                                      ,6771,05-01-1999,16.9,10.7,-
ירושלים מרכז                                      ,6771,06-01-1999,14.2,8.6,-
ירושלים מרכז                                      ,6771,07-01-1999,13.4,7.0,-
ירושלים מרכז                                      ,6771,08-01-1999,12.1,7.2,-
ירושלים מרכז                                      ,6771,09-01-1999,11.2,6.5,-
ירושלים מרכז                                      ,6771,10-01-1999,14.8,7.7,-
ירושלים מרכז                                      ,6771,11-01-1999,16.9,9.1,-
ירושלים מרכז                                      ,6771,12-01-1999,17.1,9.2,-
ירושלים מרכז                                      ,6771,13-01-1999,18.7,10.6,-
ירושלים מרכז                                      ,6771,14-01-1999,17.8,10.0,-
ירושלים מרכז                                      ,6771,15-01-1999,13.2,9.0,-
ירושלים מרכז                                      ,6771,16-01-1999,14.2,8.2,-
ירושלים מרכז                                      ,6771,17-01-1999,10.0,5.9,-
ירושלים מרכז                                      ,6771,18-01-1999,9.5,7.4,-
ירושלים מרכז                                      ,6771,19-01-1999,8.3,5.7,-
ירושלים מרכז                                      ,6771,20-01-1999,9.0,5.1,-
ירושלים מרכז                                      ,6771,21-01-1999,12.8,5.6,-
ירושלים מרכז                                      ,6771,22-01-1999,16.0,6.8,-
ירושלים מרכז                                      ,6771,23-01-1999,12.4,7.9,-
ירושלים מרכז                                      ,6771,24-01-1999,12.2,7.5,-
ירושלים מרכז                                      ,6771,25-01-1999,14.8,7.4,-
ירושלים מרכז                                      ,6771,26-01-1999,14.4,8.5,-
ירושלים מרכז                                      ,6771,27-01-1999,13.9,6.8,-
ירושלים מרכז                                      ,6771,28-01-1999,10.2,6.1,-
ירושלים מרכז                                      ,6771,29-01-1999,16.1,6.8,-
ירושלים מרכז                                      ,6771,30-01-1999,15.4,6.5,-
ירושלים מרכז                                      ,6771,31-01-1999,18.7,9.8,-
ירושלים מרכז                                      ,6771,01-02-1999,21.0,12.0,-
ירושלים מרכז                                      ,6771,02-02-1999,21.2,13.0,-
ירושלים מרכז                                      ,6771,03-02-1999,16.1,9.4,-
ירושלים מרכז                                      ,6771,04-02-1999,16.9,7.8,-
ירושלים מרכז                                      ,6771,05-02-1999,10.2,6.1,-
ירושלים מרכז                                      ,6771,06-02-1999,10.4,4.8,-
ירושלים מרכז                                      ,6771,07-02-1999,14.0,6.0,-
ירושלים מרכז                                      ,6771,08-02-1999,10.6,5.8,-
ירושלים מרכז                                      ,6771,09-02-1999,14.5,6.5,-
ירושלים מרכז                                      ,6771,10-02-1999,13.9,6.5,-
ירושלים מרכז                                      ,6771,11-02-1999,19.3,8.9,-
ירושלים מרכז                                      ,6771,12-02-1999,17.8,9.8,-
ירושלים מרכז                                      ,6771,13-02-1999,17.5,7.4,-
ירושלים מרכז                                      ,6771,14-02-1999,17.0,10.6,-
ירושלים מרכז                                      ,6771,15-02-1999,15.9,8.7,-
ירושלים מרכז                                      ,6771,16-02-1999,18.8,6.4,-
ירושלים מרכז                                      ,6771,17-02-1999,22.1,12.7,-
ירושלים מרכז                                      ,6771,18-02-1999,20.4,9.2,-
ירושלים מרכז                                      ,6771,19-02-1999,11.3,7.8,-
ירושלים מרכז                                      ,6771,20-02-1999,8.3,4.6,-
ירושלים מרכז                                      ,6771,21-02-1999,10.8,3.8,-
ירושלים מרכז                                      ,6771,22-02-1999,15.1,5.6,-
ירושלים מרכז                                      ,6771,23-02-1999,15.9,8.0,-
ירושלים מרכז                                      ,6771,24-02-1999,17.2,7.7,-
ירושלים מרכז                                      ,6771,25-02-1999,14.0,8.2,-
ירושלים מרכז                                      ,6771,26-02-1999,14.1,7.1,-
ירושלים מרכז                                      ,6771,27-02-1999,13.5,6.5,-
ירושלים מרכז                                      ,6771,28-02-1999,13.6,6.9,-
ירושלים מרכז                                      ,6771,01-03-1999,15.8,9.1,-
ירושלים מרכז                                      ,6771,02-03-1999,13.6,7.8,-
ירושלים מרכז                                      ,6771,03-03-1999,10.7,7.2,-
ירושלים מרכז                                      ,6771,04-03-1999,15.8,7.8,-
ירושלים מרכז                                      ,6771,05-03-1999,19.5,10.2,-
ירושלים מרכז                                      ,6771,06-03-1999,22.0,13.1,-
ירושלים מרכז                                      ,6771,07-03-1999,23.5,14.4,-
ירושלים מרכז                                      ,6771,08-03-1999,23.8,14.8,-
ירושלים מרכז                                      ,6771,09-03-1999,18.8,10.9,-
ירושלים מרכז                                      ,6771,10-03-1999,14.1,8.0,-
ירושלים מרכז                                      ,6771,11-03-1999,15.7,6.5,-
ירושלים מרכז                                      ,6771,12-03-1999,18.9,9.9,-
ירושלים מרכז                                      ,6771,13-03-1999,18.1,9.7,-
ירושלים מרכז                                      ,6771,14-03-1999,14.9,8.0,-
ירושלים מרכז                                      ,6771,15-03-1999,14.1,8.0,-
ירושלים מרכז                                      ,6771,16-03-1999,14.1,7.7,-
ירושלים מרכז                                      ,6771,17-03-1999,16.1,7.0,-
ירושלים מרכז                                      ,6771,18-03-1999,24.3,12.1,-
ירושלים מרכז                                      ,6771,19-03-1999,23.2,16.4,-
ירושלים מרכז                                      ,6771,20-03-1999,16.9,8.9,-
ירושלים מרכז                                      ,6771,21-03-1999,14.0,7.9,-
ירושלים מרכז                                      ,6771,22-03-1999,11.8,7.0,-
ירושלים מרכז                                      ,6771,23-03-1999,13.5,7.2,-
ירושלים מרכז                                      ,6771,24-03-1999,17.8,7.2,-
ירושלים מרכז                                      ,6771,25-03-1999,13.5,7.6,-
ירושלים מרכז                                      ,6771,26-03-1999,14.6,7.4,-
ירושלים מרכז                                      ,6771,27-03-1999,18.2,7.8,-
ירושלים מרכז                                      ,6771,28-03-1999,19.3,11.6,-
ירושלים מרכז                                      ,6771,29-03-1999,25.0,14.7,-
ירושלים מרכז                                      ,6771,30-03-1999,26.3,16.8,-
ירושלים מרכז                                      ,6771,31-03-1999,19.4,11.5,-
ירושלים מרכז                                      ,6771,01-04-1999,14.5,9.1,-
ירושלים מרכז                                      ,6771,02-04-1999,15.8,8.3,-
ירושלים מרכז                                      ,6771,03-04-1999,15.9,9.4,-
ירושלים מרכז                                      ,6771,04-04-1999,18.6,9.9,-
ירושלים מרכז                                      ,6771,05-04-1999,23.1,13.0,-
ירושלים מרכז                                      ,6771,06-04-1999,19.3,10.4,-
ירושלים מרכז                                      ,6771,07-04-1999,11.6,8.2,-
ירושלים מרכז                                      ,6771,08-04-1999,12.3,7.4,-
ירושלים מרכז                                      ,6771,09-04-1999,16.3,9.1,-
ירושלים מרכז                                      ,6771,10-04-1999,21.4,9.3,-
ירושלים מרכז                                      ,6771,11-04-1999,25.5,14.1,-
ירושלים מרכז                                      ,6771,12-04-1999,19.5,10.9,-
ירושלים מרכז                                      ,6771,13-04-1999,15.1,9.2,-
ירושלים מרכז                                      ,6771,14-04-1999,20.4,9.0,-
ירושלים מרכז                                      ,6771,15-04-1999,23.1,15.0,-
ירושלים מרכז                                      ,6771,16-04-1999,23.1,12.3,-
ירושלים מרכז                                      ,6771,17-04-1999,24.0,13.8,-
ירושלים מרכז                                      ,6771,18-04-1999,29.7,18.9,-
ירושלים מרכז                                      ,6771,19-04-1999,30.5,20.5,-
ירושלים מרכז                                      ,6771,20-04-1999,22.5,13.2,-
ירושלים מרכז                                      ,6771,21-04-1999,19.3,10.1,-
ירושלים מרכז                                      ,6771,22-04-1999,18.7,9.8,-
ירושלים מרכז                                      ,6771,23-04-1999,24.0,9.3,-
ירושלים מרכז                                      ,6771,24-04-1999,26.6,15.5,-
ירושלים מרכז                                      ,6771,25-04-1999,24.5,11.5,-
ירושלים מרכז                                      ,6771,26-04-1999,28.2,15.3,-
ירושלים מרכז                                      ,6771,27-04-1999,25.3,15.7,-
ירושלים מרכז                                      ,6771,28-04-1999,23.8,15.1,-
ירושלים מרכז                                      ,6771,29-04-1999,22.9,11.9,-
ירושלים מרכז                                      ,6771,30-04-1999,24.1,10.7,-
ירושלים מרכז                                      ,6771,01-05-1999,31.1,17.4,-
ירושלים מרכז                                      ,6771,02-05-1999,30.2,22.1,-
ירושלים מרכז                                      ,6771,03-05-1999,29.8,20.6,-
ירושלים מרכז                                      ,6771,04-05-1999,28.6,19.6,-
ירושלים מרכז                                      ,6771,05-05-1999,33.1,21.2,-
ירושלים מרכז                                      ,6771,06-05-1999,30.2,20.9,-
ירושלים מרכז                                      ,6771,07-05-1999,25.6,16.4,-
ירושלים מרכז                                      ,6771,08-05-1999,22.2,13.5,-
ירושלים מרכז                                      ,6771,09-05-1999,19.1,12.1,-
ירושלים מרכז                                      ,6771,10-05-1999,22.6,12.3,-
ירושלים מרכז                                      ,6771,11-05-1999,25.5,14.5,-
ירושלים מרכז                                      ,6771,12-05-1999,20.8,12.4,-
ירושלים מרכז                                      ,6771,13-05-1999,21.5,12.1,-
ירושלים מרכז                                      ,6771,14-05-1999,25.1,13.0,-
ירושלים מרכז                                      ,6771,15-05-1999,26.7,15.8,-
ירושלים מרכז                                      ,6771,16-05-1999,25.9,16.5,-
ירושלים מרכז                                      ,6771,17-05-1999,26.5,17.6,-
ירושלים מרכז                                      ,6771,18-05-1999,27.3,16.5,-
ירושלים מרכז                                      ,6771,19-05-1999,29.5,19.5,-
ירושלים מרכז                                      ,6771,20-05-1999,28.5,17.8,-
ירושלים מרכז                                      ,6771,21-05-1999,31.0,20.0,-
ירושלים מרכז                                      ,6771,22-05-1999,33.7,24.0,-
ירושלים מרכז                                      ,6771,23-05-1999,35.7,26.3,-
ירושלים מרכז                                      ,6771,24-05-1999,36.3,23.4,-
ירושלים מרכז                                      ,6771,25-05-1999,28.0,21.0,-
ירושלים מרכז                                      ,6771,26-05-1999,23.9,15.0,-
ירושלים מרכז                                      ,6771,27-05-1999,27.3,13.8,-
ירושלים מרכז                                      ,6771,28-05-1999,25.6,19.1,-
ירושלים מרכז                                      ,6771,29-05-1999,23.7,14.5,-
ירושלים מרכז                                      ,6771,30-05-1999,25.0,13.1,-
ירושלים מרכז                                      ,6771,31-05-1999,25.3,17.2,-
ירושלים מרכז                                      ,6771,01-06-1999,24.3,14.6,-
ירושלים מרכז                                      ,6771,02-06-1999,26.0,15.5,-
ירושלים מרכז                                      ,6771,03-06-1999,25.8,16.4,-
ירושלים מרכז                                      ,6771,04-06-1999,24.3,14.9,-
ירושלים מרכז                                      ,6771,05-06-1999,27.2,17.9,-
ירושלים מרכז                                      ,6771,06-06-1999,30.5,21.0,-
ירושלים מרכז                                      ,6771,07-06-1999,29.3,21.5,-
ירושלים מרכז                                      ,6771,08-06-1999,27.3,16.9,-
ירושלים מרכז                                      ,6771,09-06-1999,26.4,15.8,-
ירושלים מרכז                                      ,6771,10-06-1999,25.3,17.5,-
ירושלים מרכז                                      ,6771,11-06-1999,24.2,16.5,-
ירושלים מרכז                                      ,6771,12-06-1999,23.7,16.4,-
ירושלים מרכז                                      ,6771,13-06-1999,26.5,16.7,-
ירושלים מרכז                                      ,6771,14-06-1999,29.0,19.4,-
ירושלים מרכז                                      ,6771,15-06-1999,26.8,16.2,-
ירושלים מרכז                                      ,6771,16-06-1999,27.2,16.6,-
ירושלים מרכז                                      ,6771,17-06-1999,28.0,17.9,-
ירושלים מרכז                                      ,6771,18-06-1999,30.8,21.0,-
ירושלים מרכז                                      ,6771,19-06-1999,30.6,22.5,-
ירושלים מרכז                                      ,6771,20-06-1999,28.3,17.0,-
ירושלים מרכז                                      ,6771,21-06-1999,29.1,16.9,-
ירושלים מרכז                                      ,6771,22-06-1999,30.6,20.2,-
ירושלים מרכז                                      ,6771,23-06-1999,27.3,19.0,-
ירושלים מרכז                                      ,6771,24-06-1999,23.2,17.0,-
ירושלים מרכז                                      ,6771,25-06-1999,23.8,16.0,-
ירושלים מרכז                                      ,6771,26-06-1999,23.5,16.4,-
ירושלים מרכז                                      ,6771,27-06-1999,25.1,16.4,-
ירושלים מרכז                                      ,6771,28-06-1999,26.0,16.5,-
ירושלים מרכז                                      ,6771,29-06-1999,28.6,17.0,-
ירושלים מרכז                                      ,6771,30-06-1999,29.2,19.6,-
ירושלים מרכז                                      ,6771,01-07-1999,29.2,18.6,-
ירושלים מרכז                                      ,6771,02-07-1999,27.5,17.7,-
ירושלים מרכז                                      ,6771,03-07-1999,27.8,17.0,-
ירושלים מרכז                                      ,6771,04-07-1999,27.8,16.5,-
ירושלים מרכז                                      ,6771,05-07-1999,29.3,16.8,-
ירושלים מרכז                                      ,6771,06-07-1999,28.8,17.0,-
ירושלים מרכז                                      ,6771,07-07-1999,28.8,17.6,-
ירושלים מרכז                                      ,6771,08-07-1999,30.7,19.4,-
ירושלים מרכז                                      ,6771,09-07-1999,32.1,22.9,-
ירושלים מרכז                                      ,6771,10-07-1999,31.4,22.6,-
ירושלים מרכז                                      ,6771,11-07-1999,31.8,22.2,-
ירושלים מרכז                                      ,6771,12-07-1999,30.2,20.8,-
ירושלים מרכז                                      ,6771,13-07-1999,28.8,20.1,-
ירושלים מרכז                                      ,6771,14-07-1999,29.1,18.8,-
ירושלים מרכז                                      ,6771,15-07-1999,29.4,18.7,-
ירושלים מרכז                                      ,6771,16-07-1999,32.0,19.5,-
ירושלים מרכז                                      ,6771,17-07-1999,30.7,23.2,-
ירושלים מרכז                                      ,6771,18-07-1999,31.3,22.3,-
ירושלים מרכז                                      ,6771,19-07-1999,28.1,19.3,-
ירושלים מרכז                                      ,6771,20-07-1999,27.2,18.8,-
ירושלים מרכז                                      ,6771,21-07-1999,28.5,17.6,-
ירושלים מרכז                                      ,6771,22-07-1999,28.6,20.2,-
ירושלים מרכז                                      ,6771,23-07-1999,30.0,21.4,-
ירושלים מרכז                                      ,6771,24-07-1999,30.1,20.8,-
ירושלים מרכז                                      ,6771,25-07-1999,29.3,20.1,-
ירושלים מרכז                                      ,6771,26-07-1999,27.6,17.7,-
ירושלים מרכז                                      ,6771,27-07-1999,28.2,18.1,-
ירושלים מרכז                                      ,6771,28-07-1999,27.4,19.0,-
ירושלים מרכז                                      ,6771,29-07-1999,26.5,17.9,-
ירושלים מרכז                                      ,6771,30-07-1999,26.0,18.0,-
ירושלים מרכז                                      ,6771,31-07-1999,29.0,18.8,-
ירושלים מרכז                                      ,6771,01-08-1999,28.7,18.2,-
ירושלים מרכז                                      ,6771,02-08-1999,28.5,18.2,-
ירושלים מרכז                                      ,6771,03-08-1999,28.7,18.5,-
ירושלים מרכז                                      ,6771,04-08-1999,29.1,19.1,-
ירושלים מרכז                                      ,6771,05-08-1999,28.8,18.8,-
ירושלים מרכז                                      ,6771,06-08-1999,29.7,18.7,-
ירושלים מרכז                                      ,6771,07-08-1999,30.8,18.1,-
ירושלים מרכז                                      ,6771,08-08-1999,31.5,21.9,-
ירושלים מרכז                                      ,6771,09-08-1999,31.0,22.2,-
ירושלים מרכז                                      ,6771,10-08-1999,32.8,22.4,-
ירושלים מרכז                                      ,6771,11-08-1999,31.4,24.8,-
ירושלים מרכז                                      ,6771,12-08-1999,30.5,22.8,-
ירושלים מרכז                                      ,6771,13-08-1999,30.5,22.2,-
ירושלים מרכז                                      ,6771,14-08-1999,33.5,20.5,-
ירושלים מרכז                                      ,6771,15-08-1999,32.3,20.9,-
ירושלים מרכז                                      ,6771,16-08-1999,30.5,20.1,-
ירושלים מרכז                                      ,6771,17-08-1999,32.8,19.7,-
ירושלים מרכז                                      ,6771,18-08-1999,34.1,24.9,-
ירושלים מרכז                                      ,6771,19-08-1999,32.6,20.9,-
ירושלים מרכז                                      ,6771,20-08-1999,34.5,23.3,-
ירושלים מרכז                                      ,6771,21-08-1999,34.0,24.5,-
ירושלים מרכז                                      ,6771,22-08-1999,33.3,22.6,-
ירושלים מרכז                                      ,6771,23-08-1999,33.5,22.5,-
ירושלים מרכז                                      ,6771,24-08-1999,31.4,22.8,-
ירושלים מרכז                                      ,6771,25-08-1999,28.0,19.9,-
ירושלים מרכז                                      ,6771,26-08-1999,29.4,19.0,-
ירושלים מרכז                                      ,6771,27-08-1999,28.0,19.0,-
ירושלים מרכז                                      ,6771,28-08-1999,28.2,18.5,-
ירושלים מרכז                                      ,6771,29-08-1999,27.8,18.9,-
ירושלים מרכז                                      ,6771,30-08-1999,28.1,17.6,-
ירושלים מרכז                                      ,6771,31-08-1999,28.7,19.0,-
ירושלים מרכז                                      ,6771,01-09-1999,28.3,18.4,-
ירושלים מרכז                                      ,6771,02-09-1999,27.9,18.9,-
ירושלים מרכז                                      ,6771,03-09-1999,27.6,18.3,-
ירושלים מרכז                                      ,6771,04-09-1999,27.7,18.4,-
ירושלים מרכז                                      ,6771,05-09-1999,27.3,18.4,-
ירושלים מרכז                                      ,6771,06-09-1999,26.8,18.8,-
ירושלים מרכז                                      ,6771,07-09-1999,25.8,18.2,-
ירושלים מרכז                                      ,6771,08-09-1999,27.9,18.0,-
ירושלים מרכז                                      ,6771,09-09-1999,29.7,18.0,-
ירושלים מרכז                                      ,6771,10-09-1999,27.2,18.1,-
ירושלים מרכז                                      ,6771,11-09-1999,26.9,19.2,-
ירושלים מרכז                                      ,6771,12-09-1999,26.3,18.7,-
ירושלים מרכז                                      ,6771,13-09-1999,26.2,18.5,-
ירושלים מרכז                                      ,6771,14-09-1999,27.2,17.8,-
ירושלים מרכז                                      ,6771,15-09-1999,30.4,20.0,-
ירושלים מרכז                                      ,6771,16-09-1999,26.6,18.2,-
ירושלים מרכז                                      ,6771,17-09-1999,27.6,17.4,-
ירושלים מרכז                                      ,6771,18-09-1999,27.9,18.0,-
ירושלים מרכז                                      ,6771,19-09-1999,27.9,17.4,-
ירושלים מרכז                                      ,6771,20-09-1999,30.3,20.5,-
